course,professor,room,start,end
EHM ev crag.,Ericyan S.,R13,2023-05-25 11:00:00,2023-05-25 12:00:00
EHM ev crag.,Mnacakanyan,R48,2023-05-24 12:00:00,2023-05-24 13:00:00
EHM ev crag.,Mnacakanyan,R13,2023-05-30 13:00:00,2023-05-30 14:00:00
EHM ev crag.,Mnacakanyan,R13,2023-05-30 13:00:00,2023-05-30 14:00:00
EHM ev crag.,Mnacakanyan,R50,2023-05-22 12:00:00,2023-05-22 13:00:00
EHM ev crag.,Mnacakanyan,R50,2023-05-22 12:00:00,2023-05-22 13:00:00
Discrete Mathematic,Osipyan A.,R48,2023-05-26 11:00:00,2023-05-26 12:00:00
Discrete Mathematic,Osipyan A.,R13,2023-05-30 10:00:00,2023-05-30 11:00:00
Assembler,Harutyunyan A.,R13,2023-05-26 13:00:00,2023-05-26 14:00:00
Assembler,Harutyunyan A.,R13,2023-05-26 13:00:00,2023-05-26 14:00:00
Assembler,Harutyunyan A.,R48,2023-05-21 11:00:00,2023-05-21 12:00:00
GUI cragravorum,Mnacakanyan,R50,2023-05-24 10:00:00,2023-05-24 11:00:00
GUI cragravorum,Mnacakanyan,R50,2023-05-24 10:00:00,2023-05-24 11:00:00
Grafneri tesutyun,Osipyan A.,R50,2023-05-28 10:00:00,2023-05-28 11:00:00
Tvayin Metodner,Manasyan V.,R53,2023-05-23 13:00:00,2023-05-23 14:00:00
Tvayin Metodner,Manasyan V.,R48,2023-05-27 13:00:00,2023-05-27 14:00:00
Tvayin Metodner,Manasyan V.,R50,2023-05-27 10:00:00,2023-05-27 11:00:00
Lisp,Sahakyan G.,R50,2023-05-24 12:00:00,2023-05-24 13:00:00
Lisp,Sahakyan G.,R50,2023-05-24 12:00:00,2023-05-24 13:00:00
Kombinator algorithmner,Osipyan A.,R48,2023-05-29 12:00:00,2023-05-29 13:00:00
Kombinator algorithmner,Osipyan A.,R50,2023-05-21 12:00:00,2023-05-21 13:00:00
Optimizacman met.,Zaqaryan Gh.,R53,2023-05-23 10:00:00,2023-05-23 11:00:00
Optimizacman met.,Zaqaryan Gh.,R50,2023-05-29 12:00:00,2023-05-29 13:00:00
Komp. Cancer,Galstyan A.,R13,2023-05-27 11:00:00,2023-05-27 12:00:00
Komp. Cancer,Galstyan A.,R50,2023-05-26 11:00:00,2023-05-26 12:00:00
Komp. Cancer,Galstyan A.,R50,2023-05-26 11:00:00,2023-05-26 12:00:00
Mat. Kibernetika,Manasyan V.,R13,2023-05-29 13:00:00,2023-05-29 14:00:00
Mat. Kibernetika,Manasyan V.,R48,2023-05-26 13:00:00,2023-05-26 14:00:00
